FID,id,rbd,letra,numero,direcc_cal,direcc_num,of_piso,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,layer,nombre,direccion,tipo
26, , , , , ,0, ,SAN BERNARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,13737 INCAHUASI,SALA CUNA
27, , , , , ,0, ,SAN BERNARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,13451 PASO DRAKE,SALA CUNA
28, , , , , ,0, ,EL BOSQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,LAS PALMAS II,10007 CAMINOS DE CHILE,SALA CUNA
29, , , , , ,0, ,PENALOLEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,DREAMLAND,7752 LOS PRESIDENTES,JARDIN INFANTIL Y SALA CUNA
30, , , , , ,0, ,ESTACION CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,GIRASOL LTDA.,4848 LIBER BERNARDO O HIGGINS,JARDIN INFANTIL
31,57,24463 5, , ,EL CORREGIDOR,356,2,TALAGANTE,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24463 5,TALAGANTE,PREBASICA,321895.67414,6273956.49461,PROVINCIAL TALAGANTE,PREBASICA,LOS ENANITOS DE TALAGANTE,356 EL CORREGIDOR,JARDIN INFANTIL
32,116,24490 2, ,60,21 DE MAYO,3840,1,PENAFLOR,8121088,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24490 2,PENAFLOR,PREBASICA,324410.18926,6279942.51281,PROVINCIAL TALAGANTE,PREBASICA,CAPULLO,3840 21 DE MAYO,JARDIN INFANTIL
33,119,24493 7, ,61,BILBAO,211,1,PENAFLOR,8121162,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24493 7,PENAFLOR,PREBASICA,326085.61206,6280635.0209,PROVINCIAL TALAGANTE,PREBASICA,BERNADETTE SOUBIROUS,211 BILBAO,JARDIN INFANTIL
34,121,24707 3, ,42,MARIANO LATORRE,49,1,PENAFLOR,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24707 3,PENAFLOR,PREBASICA,325906.90029,6279328.19112,PROVINCIAL TALAGANTE,PREBASICA,MALLOCO  ANEXO,49 MARIANO LATORRE,JARDIN INFANTIL
35,136,24785 5, ,86,18 DE SEPTIEMBRE,178,1,PAINE,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24785 5,PAINE,PREBASICA,339794.86302,6257878.69635,PROVINCIAL SUR,PREBASICA,SEMILITA,178 18 DE SEPTIEMBRE,JARDIN INFANTIL
36,147,10000014, , ,GUILLERMO SAAVEDRA,5479, ,ESTACION CENTRAL,7413599,7,200,0,4,1,0,0,12,2,15,0,0,4,0,0,0,0,0,0,154,0,0,0,3,154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000014,SANTIAGO,PREBASICA,340640.56633,6294765.4578,PROVINCIAL PONIENTE,PREBASICA,C.A. L.MANZOR V.,5479 GUILLERMO SAAVEDRA,SALA CUNA
37,148,10000177, , ,LAS ESTEPAS,707, ,ESTACION CENTRAL,7421652,6,2750,0,5.94,1,3,0,10,4,18,0,0,0,0,0,0,0,0,0,205,0,0,0,3,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000177,SANTIAGO,PREBASICA,340792.79085,6295259.35078,PROVINCIAL PONIENTE,PREBASICA,JARDIN DEL EDEN,707 LAS ESTEPAS,JARDIN INFANTIL
38,149,10000176, , ,DALCAHUE,5877, ,ESTACION CENTRAL,7422318,6,3200,1925,3.24,1,2,0,5,1,9,0,0,0,0,0,0,0,0,0,143,0,0,0,3,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000176,SANTIAGO,PREBASICA,341225.76301,6294679.58032,PROVINCIAL PONIENTE,PREBASICA,SEMILLITA,5877 DALCAHUE,JARDIN INFANTIL
39,150,10000175, , ,GUADAL,932, ,ESTACION CENTRAL,0,6,3300,2500,2.2,1,1,0,4,1,7,0,0,0,0,1,0,0,0,0,113,0,0,0,3,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000175,SANTIAGO,PREBASICA,341771.3836,6295919.80174,PROVINCIAL PONIENTE,PREBASICA,ANTILEN,932 GUADAL,SALA CUNA
40,151,10000182, , ,LUIS CRUZ MARTINEZ,4385, ,ESTACION CENTRAL,7796014,6,3300,0,0,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,96,0,0,0,3,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000182,SANTIAGO,PREBASICA,342682.8088,6294789.4471,PROVINCIAL PONIENTE,PREBASICA,SEMILLITA,4385 LUIS CRUZ MARTINEZ,JARDIN INFANTIL
41,152,10000178, , ,MANUEL CHACON,2229, ,ESTACION CENTRAL,6837141,6,5000,1160,3.42,1,3,0,7,3,14,0,0,0,0,0,0,0,0,0,150,0,0,0,3,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000178,SANTIAGO,PREBASICA,342938.34676,6294659.63532,PROVINCIAL PONIENTE,PREBASICA,MIS PRIMEROS PASOS,2229 MANUEL CHACON,JARDIN INFANTIL
42,153,10000180, , ,FERROCARRIL,4101, ,ESTACION CENTRAL,7795378,6,3300,729,2.02,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,104,0,0,0,3,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000180,SANTIAGO,PREBASICA,343074.68835,6294822.99818,PROVINCIAL PONIENTE,PREBASICA,NUESTRO MUNDO,4101 FERROCARRIL,JARDIN INFANTIL Y SALA CUNA
43,154,10000013, , ,LOS JAZMINEZ,6090, ,ESTACION CENTRAL,7764860,7,0,0,3.38,1,1,0,9,2,13,0,0,0,0,0,0,0,0,0,152,0,0,0,3,152,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000013,SANTIAGO,PREBASICA,341568.7488,6296249.04623,PROVINCIAL PONIENTE,PREBASICA,C.A. MARIA SARA,6090 LOS JAZMINEZ,SALA CUNA
44,155,10000173, , ,LAS ENCINAS,97, ,ESTACION CENTRAL,6811274,6,250,0,0,1,1,0,6,2,10,0,0,0,0,0,0,0,0,0,120,0,0,0,3,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000173,SANTIAGO,PREBASICA,343145.7914,6297961.37615,PROVINCIAL PONIENTE,PREBASICA,VILLA PORTALES,97 LAS ENCINAS,JARDIN INFANTIL Y SALA CUNA
45,156,10000012, , ,LA UNION,3485, ,ESTACION CENTRAL,6831017,7,0,450,1.72,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,68,0,0,0,3,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000012,SANTIAGO,PREBASICA,343581.99231,6294782.49699,PROVINCIAL PONIENTE,PREBASICA,GUILLERMO PERRY,3485 LA UNION,JARDIN INFANTIL
46,157,10000179, , ,JOTABECHE,594, ,ESTACION CENTRAL,7761039,6,3000,0,0,1,1,0,3,2,7,0,0,0,0,4,0,0,0,0,58,0,0,0,3,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000179,SANTIAGO,PREBASICA,343420.23354,6296581.77139,PROVINCIAL PONIENTE,PREBASICA,JARDIN INFANTIL ESPERANZA,594 JOTABECHE,JARDIN INFANTIL Y SALA CUNA
47,158,10000019, , ,DIAG RENY,1613, ,CERRO NAVIA,6431760,7,1600,3312,6.12,1,0,0,9,9,19,0,0,2,0,2,0,0,0,0,181,0,0,0,3,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000019,SANTIAGO,PREBASICA,336820.16016,6300804.95,PROVINCIAL PONIENTE,PREBASICA,HEROES DE LA CONCEPCION,1613 DIAG RENY,SALA CUNA
48,159,10000167, , ,EL ARROYO,1734, ,CERRO NAVIA,0,6,0,2400,2.76,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,112,0,0,0,3,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000167,SANTIAGO,PREBASICA,336787.55471,6301250.47903,PROVINCIAL PONIENTE,PREBASICA,PEQUENAS ILUSIONES,1734 EL ARROYO,JARDIN INFANTIL
49,160,10000163, , ,ROLANDO PETERSEN,1806, ,CERRO NAVIA,0,6,300,2976,4.62,1,3,0,12,6,22,0,0,0,0,0,0,0,0,0,188,0,0,0,3,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000163,SANTIAGO,PREBASICA,337618.24413,6301556.53965,PROVINCIAL PONIENTE,PREBASICA,FANTASIA,1806 ROLANDO PETERSEN,JARDIN INFANTIL
50,161,10000161, , ,LA CAPILLA,7296, ,CERRO NAVIA,6431855,6,250,0,0,1,4,0,7,3,15,0,0,0,0,0,0,0,0,0,189,0,0,0,3,189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000161,SANTIAGO,PREBASICA,338451.43643,6301379.75963,PROVINCIAL PONIENTE,PREBASICA,LAS ROSAS,7296 LA CAPILLA,JARDIN INFANTIL
51,162,10000166, , ,GALO GONZALEZ,1520, ,CERRO NAVIA,6490246,6,4300,655,2.17,1,1,0,1,4,7,0,0,0,0,0,0,0,0,0,78,0,0,0,3,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000166,SANTIAGO,PREBASICA,338607.54531,6300263.15,PROVINCIAL PONIENTE,PREBASICA,BAMBI,1520 GALO GONZALEZ,JARDIN INFANTIL
52,163,10000020, , ,LUIS HERRERO,7003, ,CERRO NAVIA,6432576,7,0,1237,2.59,1,0,0,7,5,13,0,0,0,0,0,0,0,0,0,149,0,0,0,3,149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000020,SANTIAGO,PREBASICA,339060.48438,6300228.5625,PROVINCIAL PONIENTE,PREBASICA,C.A. LOS ANGELITOS,7003 LUIS HERRERO,SALA CUNA
53,164,10000022, , ,2 DE ENERO,2339, ,CERRO NAVIA,7757057,7,0,0,0,1,0,0,6,3,10,0,0,0,0,0,0,0,0,0,95,0,0,0,3,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000022,SANTIAGO,PREBASICA,339577.00586,6301477.17894,PROVINCIAL PONIENTE,PREBASICA,C.A. SAN JORGE,2339 2 DE ENERO,SALA CUNA
54,165,10000168, , ,LAS VIOLETAS,1118, ,CERRO NAVIA,7759838,6,3000,3924,7,1,2,0,5,1,9,0,0,0,0,0,0,0,0,0,133,0,0,0,3,133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000168,SANTIAGO,PREBASICA,339530.57299,6299059.47422,PROVINCIAL PONIENTE,PREBASICA,LOS PQUES,1118 LAS VIOLETAS,JARDIN INFANTIL Y SALA CUNA
