FID,objectid_1,objectid,oid_,name,folderpath,popupinfo,longitud,Shape__Length
73,73,73,0,* Providencia,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Antonio Varas a Dr. Manuel Barros Borgoño,0.19,227.591624107738
74,74,74,0,* Puyehue / Elena Blanco / Pedro León Gallo,Ciclovías Santiago 2015 - 2016/* Puyehue / Elena Blanco,Vereda / Ambos sentidos / Antonio Varas a Salvador,1.05,1261.77869757743
75,75,75,0,* Recoleta,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Los Industriales a Premio Nobel,0.72,862.847572386876
76,76,76,0,* Renato Sánchez,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Américo Vespucio a Alcántara,0.51,610.827533941353
77,77,77,0,* República,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Alameda a Blanco Encalada,0.99,1196.46284072547
78,78,78,0,* Ricardo Lyon,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Lota a Dr. Pedro Lautaro Ferrer,2.4,2891.20225343198
79,79,79,0,* Rosas / Kreutzberger / 21 De Mayo / Esmeralda,Ciclovías Santiago 2015 - 2016/* Rosas / Kreutzberger / 21 De Mayo,Calle / Ambos sentidos / Diagonal Cervantes a Matucana,2.9,3473.82736967255
80,80,80,0,* Santa Isabel,Ciclovías Santiago 2015 - 2016,Calle / Poniente a Oriente / San Ignacio a Gral. Bustamante,2.47,2963.36768758218
81,81,81,0,* Simón Bolívar,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Ossa a Antonio Varas,3.56,4266.26781245916
82,82,82,0,* Teatinos / Pdte. Balmaceda,Ciclovías Santiago 2015 - 2016/* Teatinos,Calle / Ambos sentidos / Alameda a Amunátegui,1.53,1837.01185651091
83,83,83,0,* Vicuña Mackenna (1),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Frontis supermercado Lider,0.1,126.086131775927
84,84,84,0,* Vicuña Mackenna (2),Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / Bahía Catalina a Cardenal Raúl Silva Henríquez,0.34,401.937269236186
85,85,85,0,* Vicuña Mackenna Oriente,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Mirador Azul a Marathon,0.54,652.305716701695
86,86,86,0,* Vicuña Mackenna / Concha y Toro,Ciclovías Santiago 2015 - 2016/* Vicuña Mackenna,Vereda y bandejón / Ambos sentidos / Vicente Valdés a Eduardo Cordero,9.06,10913.7875267053
87,87,87,0,* Walker Martínez,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / La Concepción a Colombia,0.51,611.778801267657
88,88,88,0,* Parque Bicentenario,Ciclovías Santiago 2015 - 2016,Isabel Montt a Rotonda Pérez Zujovic,1.52,1832.53582836622
89,89,89,0,* Parque de Los Reyes,Ciclovías Santiago 2015 - 2016,Estación Mapocho a Esperanza,1.98,2373.79481604286
90,90,90,0,* Parques: Forestal / Balmaceda / Uruguay,Ciclovías Santiago 2015 - 2016/* Parques: Forestal / Balmaceda,Mac Iver a El Cerro,5,5994.53152174836
91,91,91,0,* Parque por Agustinas,Ciclovías Santiago 2015 - 2016,Matucana a García Reyes,0.81,967.875816624614
92,92,92,0,* Parque por Escrivá de Balaguer (a),Ciclovías Santiago 2015 - 2016,Lo Arcaya a Lo Curro,1.69,2025.50811571296
93,93,93,0,* Parque por Escrivá de Balaguer (b),Ciclovías Santiago 2015 - 2016,Padre Hurtado a La Aurora,1.4,1674.732554004
94,94,94,0,* Parque por Card. José María Caro / Diagonal Cervantes,Ciclovías Santiago 2015 - 2016/* Parque por Card. José María Caro,"Parque, Calle y Vereda / Ambos sentidos / Vicuña Mackenna a Esmeralda",1.51,1807.13168430403
95,95,95,0,* Parque por Combarbalá,Ciclovías Santiago 2015 - 2016,* La Serena a Elqui,0.79,952.370868224015
96,96,96,0,* Parque por Domingo Tocornal,Ciclovías Santiago 2015 - 2016,Las Lilas a Coquimbo,0.74,883.003963090045
