FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
33,Tenencia Nueva Espana, ,PREFECTURA SANTIAGO SUR,LA CISTERNA,CARABINEROS,SANTIAGO,33, ,TENENCIA
34,Tenencia Lo Sierra, ,PREFECTURA SANTIAGO SUR,SAN BERNARDO,CARABINEROS,SANTIAGO,34, ,TENENCIA
35,Tenencia Santa Adriana, ,PREFECTURA SANTIAGO SUR,LO ESPEJO,CARABINEROS,SANTIAGO,35, ,TENENCIA
36,Tenencia Pedro Aguirre Cerda, ,PREFECTURA SANTIAGO SUR,PAC,CARABINEROS,SANTIAGO,36, ,TENENCIA
37,Tenencia Carlos Valdovinos, ,PREFECTURA SANTIAGO SUR,PAC,CARABINEROS,SANTIAGO,37, ,TENENCIA
38,12a. Comisaria San Miguel, ,PREFECTURA SANTIAGO SUR,SAN MIGUEL,CARABINEROS,SANTIAGO,38, ,COMISARIA
39,15a. Comisaria Buin, ,PREFECTURA SANTIAGO SUR,BUIN,CARABINEROS,BUIN,39, ,COMISARIA
40,Subcomisaria Paine, ,PREFECTURA SANTIAGO SUR,PAINE,CARABINEROS,PAINE,40, ,SUBCOMISARIA
41,17a. Comisaria Las Condes, ,PREFECTURA SANTIAGO ORIENTE,LAS CONDES,CARABINEROS,SANTIAGO,41, ,COMISARIA
42,33a. Comisaria Libertadores, ,PREFECTURA SANTIAGO ORIENTE,NUNOA,CARABINEROS,SANTIAGO,42, ,COMISARIA
43,53a. Comisaria Lo Barnechea, ,PREFECTURA SANTIAGO ORIENTE,LO BARNECHEA,CARABINEROS,SANTIAGO,43, ,COMISARIA
44,14a. Comisaria San Bernardo, ,PREFECTURA SANTIAGO SUR,SAN BERNARDO,CARABINEROS,SANTIAGO,44, ,COMISARIA
45,20a. Comisaria Puente Alto, ,PREFECTURA CORDILLERA,PUENTE ALTO,CARABINEROS,SANTIAGO,45, ,COMISARIA
46,1a. Comisaria Santiago., ,PREFECTURA SANTIAGO CENTRAL,SANTIAGO,CARABINEROS,SANTIAGO,46, ,COMISARIA
