FID,nombre,direccion,comuna,tipo
146,UNIVERSIDAD MAYOR,1445 LA DEHESA,LO BARNECHEA,TEATRO
147,MUNICIPAL DE MAIPU,260 5 DE ABRIL,MAIPU,TEATRO
148,MUNICIPAL DE NUNOA,1564 IRARRAZAVAL,NUNOA,TEATRO
149,UC,26 JORGE WASHINGTON,NUNOA,TEATRO
150,BELLAVISTA,110 DARDIGNAC,PROVIDENCIA,TEATRO
151,CENTRO MORI,183 CONSTITUCION,PROVIDENCIA,TEATRO
152,CIRCUS OK,1176 PROVIDENCIA,PROVIDENCIA,TEATRO
153,DUOC,666 ANTONIO VARAS,PROVIDENCIA,TEATRO
154,FACETAS,602 VICUNA MACKENNA,PROVIDENCIA,TEATRO
155,LA FERIA,260 CRUCERO EXETER,PROVIDENCIA,TEATRO
156,LA MEMORIA,503 BELLAVISTA,PROVIDENCIA,TEATRO
157,SAN GINES - BELLAVISTA,76 MALLINKRODT,PROVIDENCIA,TEATRO
158,UNIVERSIDAD DE CHILE,43 PROVIDENCIA,PROVIDENCIA,TEATRO
159,ALCALA,97 BELLAVISTA,RECOLETA,TEATRO
160,ALDEA DE LAS ARTES,287 BELLAVISTA,RECOLETA,TEATRO
161,EL ARBOL,236 ERNESTO PINTO LAGARRIGUE,RECOLETA,TEATRO
162,SIDARTE,131 ERNESTO PINTO LAGARRIGUE,RECOLETA,TEATRO
163,AGUSTIN SIRE,750 MORANDE,SANTIAGO,TEATRO
164,ANTONIO VARAS,25 MORANDE,SANTIAGO,TEATRO
165,ARCIS,53 LIBERTAD,SANTIAGO,TEATRO
166,BAR ABAJO,2185 ERASMO ESCALA,SANTIAGO,TEATRO
167,CARIOLA,244 SAN DIEGO,SANTIAGO,TEATRO
168,CARPA ANDRES PEREZ,70 VICUNA MACKENNA,SANTIAGO,TEATRO
169,CAUPOLICAN,850 SAN DIEGO,SANTIAGO,TEATRO
170,GALPON ALAMEDA,1621 LIBER BERNARDO O HIGGINS,SANTIAGO,TEATRO
171,LA COMEDIA - ICTUS,349 MERCED,SANTIAGO,TEATRO
172,LA PALOMERA,58 GARCIA REYES,SANTIAGO,TEATRO
173,MUNICIPAL DE SANTIAGO,794 AGUSTINAS,SANTIAGO,TEATRO
174,ORIENTE,99 PEDRO DE VALDIVIA,PROVIDENCIA,TEATRO
175,SAN GINES - VESPUCIO,7256 FROILAN ROA,LA FLORIDA,TEATRO
176,ARENA,3265 JAIME GUZMAN ERRAZURIZ,NUNOA,TEATRO
177,CAMINO,9400 ANTUPIREN,PENALOLEN,TEATRO
178,GALPON 7,7 CHUCRE MANZUR,PROVIDENCIA,TEATRO
179,GALPON 9,9 CHUCRE MANZUR,PROVIDENCIA,TEATRO
180,SAN GINES - AIEP,177 MIGUEL CLARO,PROVIDENCIA,TEATRO
181,ARTE BOHEMIA,289 BOMBERO NUNEZ,RECOLETA,TEATRO
182,DEL PUENTE,PARQUE FORESTAL S/N,SANTIAGO,TEATRO
183,FINIS TERRAE,1509 PEDRO DE VALDIVIA,PROVIDENCIA,TEATRO
184,LASTARRIA 90,90 JOSE VICTORINO LASTARRIA,SANTIAGO,TEATRO
185,BICENTENARIO,3800 BICENTENARIO,VITACURA,TEATRO
186,ACTUAL,2035 LA DEHESA,LO BARNECHEA,GALERIA DE ARTE
187,ACTUAL,390 LIBER BERNARDO O HIGGINS,SANTIAGO,GALERIA DE ARTE
188,AMS MARLBOROUGH,3980 NVA COSTANERA,VITACURA,GALERIA DE ARTE
189,ANDREU,3731 NVA COSTANERA,VITACURA,GALERIA DE ARTE
190,ANIMAL,3105 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
191,ANTONIO VARAS,25 MORANDE,SANTIAGO,GALERIA DE ARTE
192,ARTEMUNDO,86 ANTONIA LOPEZ DE BELLO,PROVIDENCIA,GALERIA DE ARTE
193,ARTESPACIO,2600 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
194,ARTIUM,3210 PDTE RIESCO,LAS CONDES,GALERIA DE ARTE
195,BECH,123 LIBER BERNARDO O HIGGINS,SANTIAGO,GALERIA DE ARTE
196,BUCCI,526 HUERFANOS,SANTIAGO,GALERIA DE ARTE
197,BULE,4115 NVA COSTANERA,VITACURA,GALERIA DE ARTE
198,CASA NARANJA,526 STO DOMINGO,SANTIAGO,GALERIA DE ARTE
199,CECILIA PALMA,2812 ALONSO DE CORDOVA,VITACURA,GALERIA DE ARTE
200,GALERIA ABIERTA,1564 AGUSTINAS,SANTIAGO,GALERIA DE ARTE
201,DEL CERRO,6581 LATADIA,LAS CONDES,GALERIA DE ARTE
202,ESTRATEGIA,1289 LUIS CARRERA,VITACURA,GALERIA DE ARTE
203,GABRIELA MISTRAL,1381 LIBER BERNARDO O HIGGINS,SANTIAGO,GALERIA DE ARTE
